,OR,CI_low,CI_high,p_value
Intercept,0.026634668689974998,0.023800845276323764,0.029805898403550645,0.0
"C(pattern_quartile, Treatment(reference='low_low'))[T.transient_w6_only]",1.0753450906643127,0.9027350460542435,1.2809595341071482,0.41580484033325193
"C(pattern_quartile, Treatment(reference='low_low'))[T.emergent_w7_only]",1.3870235976881602,1.1612113659207723,1.6567478729579257,0.0003079417089794882
"C(pattern_quartile, Treatment(reference='low_low'))[T.persistent]",1.510107466506234,1.328097560111418,1.717061026907214,3.172420933084237e-10
smoker_w6,146.47234806899766,131.43012383297136,163.23616019802822,0.0
