,OR_primary,CI_low_primary,CI_high_primary,p_value_primary,OR_quartile,CI_low_quartile,CI_high_quartile,p_value_quartile
transient,1.1328234376486326,0.946059841306423,1.3564564151818972,0.17486479024496238,1.0753450906643127,0.9027350460542435,1.2809595341071482,0.41580484033325193
emergent,1.2698932718414337,1.0608768829090232,1.520090547591312,0.00921365774442819,1.3870235976881602,1.1612113659207723,1.6567478729579257,0.0003079417089794882
persistent,1.4287203355447735,1.221107417334888,1.6716316420829347,8.452866570056288e-06,1.510107466506234,1.328097560111418,1.717061026907214,3.172420933084237e-10
