,OR_2wave_primary,CI_low_2wave_primary,CI_high_2wave_primary,p_value_2wave_primary,OR_3wave,CI_low_3wave,CI_high_3wave,p_value_3wave
emergent,1.2698932718414337,1.0608768829090232,1.520090547591312,0.00921365774442819,,,,
persistent,1.4287203355447735,1.221107417334888,1.6716316420829347,8.452866570056288e-06,1.3758440769768356,1.1901430698836446,1.5905204777920576,1.6104408065788744e-05
transient,1.1328234376486326,0.946059841306423,1.3564564151818972,0.17486479024496238,1.2295935857369504,1.0564417481971256,1.4311251790887576,0.0076078867795595214
