,OR,CI_low,CI_high,p_value
Intercept,0.030590257331388898,0.0280435164897336,0.033368277617507935,0.0
"C(pattern_primary, Treatment(reference='low_low'))[T.transient_w6_only]",1.1328234376486326,0.946059841306423,1.3564564151818972,0.17486479024496238
"C(pattern_primary, Treatment(reference='low_low'))[T.emergent_w7_only]",1.2698932718414337,1.0608768829090232,1.520090547591312,0.00921365774442819
"C(pattern_primary, Treatment(reference='low_low'))[T.persistent]",1.4287203355447735,1.221107417334888,1.6716316420829347,8.452866570056288e-06
smoker_w6,147.2094905822587,132.13670870701864,164.00161869883962,0.0
