,OR,CI_low,CI_high,p_value,model
Intercept,5.246753246753251,4.7498483512186125,5.795641796701392,7.295959696430918e-234,smokers_only_baseline
"C(pattern, Treatment(reference='low_low'))[T.transient_w6_only]",0.8936344106108719,0.7085351191458794,1.1270894529413173,0.3422821984675454,smokers_only_baseline
"C(pattern, Treatment(reference='low_low'))[T.emergent_w7_only]",0.9550647372429549,0.7467534238492509,1.2214857316932668,0.7141847262144819,smokers_only_baseline
"C(pattern, Treatment(reference='low_low'))[T.persistent]",0.9489436619718312,0.7723762528755425,1.1658748831854766,0.6178456357930395,smokers_only_baseline
