,OR_baseline,CI_low_baseline,CI_high_baseline,p_baseline,OR_adjusted,CI_low_adjusted,CI_high_adjusted,p_adjusted
"C(pattern, Treatment(reference='low_low'))[T.emergent_w7_only]",0.9602058312887389,0.682059890864409,1.3517804679474805,0.8159965813077701,0.9235879292189662,0.6466337014783876,1.3191620867405227,0.6620875136997724
"C(pattern, Treatment(reference='low_low'))[T.persistent]",1.1788791115630177,0.8713226697390252,1.594995755241699,0.2860045332872859,1.3186440042712564,0.9517928938667192,1.8268911453377825,0.09632704392540074
"C(pattern, Treatment(reference='low_low'))[T.transient_w6_only]",0.9589350505098604,0.6874032289131833,1.3377249224595735,0.8050053685196714,1.0032167025417962,0.7039595230019986,1.4296898037076164,0.9858233462579665
