,OR_baseline,CI_low_baseline,CI_high_baseline,p_baseline,OR_adjusted,CI_low_adjusted,CI_high_adjusted,p_adjusted
"C(pattern, Treatment(reference='low_low'))[T.emergent_w7_only]",0.9550647372429549,0.7467534238492509,1.2214857316932668,0.7141847262144819,0.9538035816579514,0.7334134886356851,1.2404206992100197,0.724227262948071
"C(pattern, Treatment(reference='low_low'))[T.persistent]",0.9489436619718312,0.7723762528755425,1.1658748831854766,0.6178456357930395,1.0295079866751995,0.8229104580585545,1.2879732955740444,0.7991349940858286
"C(pattern, Treatment(reference='low_low'))[T.transient_w6_only]",0.8936344106108719,0.7085351191458794,1.1270894529413173,0.3422821984675454,0.9406991439259239,0.733323735160397,1.2067179022773786,0.6304309566560748
