var_name,label,var_lower,label_lower
R06_AJ1012CG_08,R06_AJ1012CG_08: Cigarillo as blunts flavor usually/last smoked: Some other flav,r06_aj1012cg_08,r06_aj1012cg_08: cigarillo as blunts flavor usually/last smoked: some other flav
R06_AJ1945CG,R06_AJ1945CG: Know the name of brand of cigarillos for blunts usually/last smoke,r06_aj1945cg,r06_aj1945cg: know the name of brand of cigarillos for blunts usually/last smoke
R06_AJ1048CG_BRAND,R06_AJ1048CG_BRAND: Brand of cigarillos for blunts usually/last smoked,r06_aj1048cg_brand,r06_aj1048cg_brand: brand of cigarillos for blunts usually/last smoked
R06_AJ1070CG_PRODUCT,R06_AJ1070CG_PRODUCT: Sub-brand of cigarillos as a blunt product usually/last sm,r06_aj1070cg_product,r06_aj1070cg_product: sub-brand of cigarillos as a blunt product usually/last sm
R06_AJ1008FC,"R06_AJ1008FC: When first started smoking filtered cigars as blunts, smoked blunt",r06_aj1008fc,"r06_aj1008fc: when first started smoking filtered cigars as blunts, smoked blunt"
R06_AJ1011FC_01,R06_AJ1011FC_01: Flavor of filtered cigar used as blunts when first started smok,r06_aj1011fc_01,r06_aj1011fc_01: flavor of filtered cigar used as blunts when first started smok
R06_AJ1011FC_02,R06_AJ1011FC_02: Flavor of filtered cigar used as blunts when first started smok,r06_aj1011fc_02,r06_aj1011fc_02: flavor of filtered cigar used as blunts when first started smok
R06_AJ1011FC_03,R06_AJ1011FC_03: Flavor of filtered cigar used as blunts when first started smok,r06_aj1011fc_03,r06_aj1011fc_03: flavor of filtered cigar used as blunts when first started smok
R06_AJ1011FC_04,R06_AJ1011FC_04: Flavor of filtered cigar used as blunts when first started smok,r06_aj1011fc_04,r06_aj1011fc_04: flavor of filtered cigar used as blunts when first started smok
R06_AJ1011FC_05,R06_AJ1011FC_05: Flavor of filtered cigar used as blunts when first started smok,r06_aj1011fc_05,r06_aj1011fc_05: flavor of filtered cigar used as blunts when first started smok
R06_AJ1011FC_06,R06_AJ1011FC_06: Flavor of filtered cigar used as blunts when first started smok,r06_aj1011fc_06,r06_aj1011fc_06: flavor of filtered cigar used as blunts when first started smok
R06_AJ1011FC_07,R06_AJ1011FC_07: Flavor of filtered cigar used as blunts when first started smok,r06_aj1011fc_07,r06_aj1011fc_07: flavor of filtered cigar used as blunts when first started smok
R06_AJ1011FC_08,R06_AJ1011FC_08: Flavor of filtered cigar used as blunts when first started smok,r06_aj1011fc_08,r06_aj1011fc_08: flavor of filtered cigar used as blunts when first started smok
R06_AJ9030FC,"R06_AJ9030FC: In past 30 days, smoked a filtered cigar as a blunt, even one or t",r06_aj9030fc,"r06_aj9030fc: in past 30 days, smoked a filtered cigar as a blunt, even one or t"
R06_AJ1022FC,"R06_AJ1022FC: In past 30 days, number of days smoked filtered cigars as blunts",r06_aj1022fc,"r06_aj1022fc: in past 30 days, number of days smoked filtered cigars as blunts"
R06_AJ9029FC_NN,R06_AJ9029FC_NN: Time since last smoked filtered cigar as blunt - Number (Past 1,r06_aj9029fc_nn,r06_aj9029fc_nn: time since last smoked filtered cigar as blunt - number (past 1
R06_AJ9029FC_UN,R06_AJ9029FC_UN: Time since last smoked filtered cigar as blunt - Unit (Past 12,r06_aj9029fc_un,r06_aj9029fc_un: time since last smoked filtered cigar as blunt - unit (past 12
R06_AJ1023FC,"R06_AJ1023FC: In past 30 days, average number of filtered cigars as blunts smoke",r06_aj1023fc,"r06_aj1023fc: in past 30 days, average number of filtered cigars as blunts smoke"
R06_AJ9012FC,R06_AJ9012FC: Usually share filtered cigars as blunts with others when you smoke,r06_aj9012fc,r06_aj9012fc: usually share filtered cigars as blunts with others when you smoke
R06_AJ1130FC,"R06_AJ1130FC: In past 30 days, any of the filtered cigars smoked as blunts flavo",r06_aj1130fc,"r06_aj1130fc: in past 30 days, any of the filtered cigars smoked as blunts flavo"
R06_AJ1131FC_01,"R06_AJ1131FC_01: In past 30 days, filtered cigar as blunts flavor smoked: Mentho",r06_aj1131fc_01,"r06_aj1131fc_01: in past 30 days, filtered cigar as blunts flavor smoked: mentho"
R06_AJ1131FC_02,"R06_AJ1131FC_02: In past 30 days, filtered cigar as blunts flavor smoked: Mint",r06_aj1131fc_02,"r06_aj1131fc_02: in past 30 days, filtered cigar as blunts flavor smoked: mint"
R06_AJ1131FC_03,"R06_AJ1131FC_03: In past 30 days, filtered cigar as blunts flavor smoked: Clove",r06_aj1131fc_03,"r06_aj1131fc_03: in past 30 days, filtered cigar as blunts flavor smoked: clove"
R06_AJ1131FC_04,"R06_AJ1131FC_04: In past 30 days, filtered cigar as blunts flavor smoked: Fruit",r06_aj1131fc_04,"r06_aj1131fc_04: in past 30 days, filtered cigar as blunts flavor smoked: fruit"
R06_AJ1131FC_05,"R06_AJ1131FC_05: In past 30 days, filtered cigar as blunts flavor smoked: Chocol",r06_aj1131fc_05,"r06_aj1131fc_05: in past 30 days, filtered cigar as blunts flavor smoked: chocol"
R06_AJ1131FC_06,"R06_AJ1131FC_06: In past 30 days, filtered cigar as blunts flavor smoked: An alc",r06_aj1131fc_06,"r06_aj1131fc_06: in past 30 days, filtered cigar as blunts flavor smoked: an alc"
R06_AJ1131FC_07,"R06_AJ1131FC_07: In past 30 days, filtered cigar as blunts flavor smoked: Candy",r06_aj1131fc_07,"r06_aj1131fc_07: in past 30 days, filtered cigar as blunts flavor smoked: candy"
R06_AJ1131FC_08,"R06_AJ1131FC_08: In past 30 days, filtered cigar as blunts flavor smoked: Some o",r06_aj1131fc_08,"r06_aj1131fc_08: in past 30 days, filtered cigar as blunts flavor smoked: some o"
R06_AJ1147FC,R06_AJ1147FC: How often smoked flavored filtered cigars as blunts on days smoked,r06_aj1147fc,r06_aj1147fc: how often smoked flavored filtered cigars as blunts on days smoked
R06_AJ1133FC,"R06_AJ1133FC: In past 30 days, flavor of filtered cigars smoked as blunts most o",r06_aj1133fc,"r06_aj1133fc: in past 30 days, flavor of filtered cigars smoked as blunts most o"
R06_AJ1123FC,"R06_AJ1123FC: In past 30 days, someone refused to sell you filtered cigars for w",r06_aj1123fc,"r06_aj1123fc: in past 30 days, someone refused to sell you filtered cigars for w"
R06_AJ1030FC,R06_AJ1030FC: How you usually buy your filtered cigars as blunts,r06_aj1030fc,r06_aj1030fc: how you usually buy your filtered cigars as blunts
R06_AJ1118FC,R06_AJ1118FC: How you usually get your own filtered cigars for when you smoke bl,r06_aj1118fc,r06_aj1118fc: how you usually get your own filtered cigars for when you smoke bl
R06_AJ1032FC,R06_AJ1032FC: Geographic area where you usually buy your filtered cigars for blu,r06_aj1032fc,r06_aj1032fc: geographic area where you usually buy your filtered cigars for blu
R06_AJ1033FC,R06_AJ1033FC: Retail location where your filtered cigars for blunts are purchase,r06_aj1033fc,r06_aj1033fc: retail location where your filtered cigars for blunts are purchase
R06_AJ1039FC,"R06_AJ1039FC: Usually buy filtered cigars for blunts by the box, pack or as sing",r06_aj1039fc,"r06_aj1039fc: usually buy filtered cigars for blunts by the box, pack or as sing"
R06_AJ1040FC,R06_AJ1040FC: Number of filtered cigars for blunts come in box or pack usually b,r06_aj1040fc,r06_aj1040fc: number of filtered cigars for blunts come in box or pack usually b
R06_AJ1042FC_D,R06_AJ1042FC_D: Amount usually paid for a box or pack of filtered cigars for blu,r06_aj1042fc_d,r06_aj1042fc_d: amount usually paid for a box or pack of filtered cigars for blu
R06_AJ1042FC_C,R06_AJ1042FC_C: Amount usually paid for a box or pack of filtered cigars for blu,r06_aj1042fc_c,r06_aj1042fc_c: amount usually paid for a box or pack of filtered cigars for blu
