var_name,label,var_lower,label_lower
CASEID,CASEID: Case Identification Number,caseid,caseid: case identification number
PERSONID,PERSONID: Participant ID,personid,personid: participant id
R06_ADULTTYPE,R06_ADULTTYPE: Wave 6 adult type classification,r06_adulttype,r06_adulttype: wave 6 adult type classification
R06_ADULT_MODE,R06_ADULT_MODE: Wave 6 Adult interview mode,r06_adult_mode,r06_adult_mode: wave 6 adult interview mode
R06R_A_AT0047,R06R_A_AT0047: DERIVED - Recoded marital status (3 levels),r06r_a_at0047,r06r_a_at0047: derived - recoded marital status (3 levels)
R06R_A_AM0065_V2,R06R_A_AM0065_V2: DERIVED - Recoded number of years in US (2 levels),r06r_a_am0065_v2,r06r_a_am0065_v2: derived - recoded number of years in us (2 levels)
R06_AM0066,R06_AM0066: How well you speak English,r06_am0066,r06_am0066: how well you speak english
R06_AM0070,R06_AM0070: How well you read English,r06_am0070,r06_am0070: how well you read english
R06_AM0073,R06_AM0073: How well you write in English,r06_am0073,r06_am0073: how well you write in english
R06_AM0071,R06_AM0071: Speak a language other than English at home,r06_am0071,r06_am0071: speak a language other than english at home
R06_AM0072_01,R06_AM0072_01: Other language spoken at home: Spanish,r06_am0072_01,r06_am0072_01: other language spoken at home: spanish
R06R_A_AM0072_02,"R06R_A_AM0072_02: DERIVED - Recoded other language(s) spoken at home: Chinese, T",r06r_a_am0072_02,"r06r_a_am0072_02: derived - recoded other language(s) spoken at home: chinese, t"
R06_AC1002,"R06_AC1002: Ever smoked a cigarette, even one or two puffs",r06_ac1002,"r06_ac1002: ever smoked a cigarette, even one or two puffs"
R06_AC1004,"R06_AC1004: In past 30 days, smoked a cigarette, even one or two puffs",r06_ac1004,"r06_ac1004: in past 30 days, smoked a cigarette, even one or two puffs"
R06_AC1002_12M,"R06_AC1002_12M: In past 12 months, smoked a cigarette, even one or two puffs",r06_ac1002_12m,"r06_ac1002_12m: in past 12 months, smoked a cigarette, even one or two puffs"
R06_AC1003,R06_AC1003: Now smoke cigarettes,r06_ac1003,r06_ac1003: now smoke cigarettes
R06_AC1009_NN,R06_AC1009_NN: How long since last smoked a cigarette - Number,r06_ac1009_nn,r06_ac1009_nn: how long since last smoked a cigarette - number
R06_AC1009_UN,R06_AC1009_UN: How long since last smoked a cigarette - Unit,r06_ac1009_un,r06_ac1009_un: how long since last smoked a cigarette - unit
R06_AC1010,R06_AC1010: Completely quit smoking cigarettes,r06_ac1010,r06_ac1010: completely quit smoking cigarettes
R06_AC1103,R06_AC1103: Ever been curious about smoking a cigarette,r06_ac1103,r06_ac1103: ever been curious about smoking a cigarette
R06_AC1206,R06_AC1206: Think you will smoke a cigarette in the next year,r06_ac1206,r06_ac1206: think you will smoke a cigarette in the next year
R06_AC1104,R06_AC1104: Think you will try a cigarette soon,r06_ac1104,r06_ac1104: think you will try a cigarette soon
R06_AC1205,R06_AC1205: Would smoke a cigarette if a best friend offered,r06_ac1205,r06_ac1205: would smoke a cigarette if a best friend offered
R06_AV1004,"R06_AV1004: In the past 30 days, used an electronic nicotine product, even one o",r06_av1004,"r06_av1004: in the past 30 days, used an electronic nicotine product, even one o"
R06_AV1002,"R06_AV1002: Ever used an electronic nicotine product, even one or two times",r06_av1002,"r06_av1002: ever used an electronic nicotine product, even one or two times"
R06_AV1002_12M,"R06_AV1002_12M: In the past 12 months, used an electronic nicotine product, even",r06_av1002_12m,"r06_av1002_12m: in the past 12 months, used an electronic nicotine product, even"
R06_AV9011,"R06_AV9011: Around this time 12 months ago, used nicotine in an electronic produ",r06_av9011,"r06_av9011: around this time 12 months ago, used nicotine in an electronic produ"
R06_AV1003,R06_AV1003: Now use electronic nicotine products,r06_av1003,r06_av1003: now use electronic nicotine products
R06_AV1009_NN,R06_AV1009_NN: How long since you last took a puff from an electronic nicotine p,r06_av1009_nn,r06_av1009_nn: how long since you last took a puff from an electronic nicotine p
R06_AV1009_UN,R06_AV1009_UN: How long since you last took a puff from an electronic nicotine p,r06_av1009_un,r06_av1009_un: how long since you last took a puff from an electronic nicotine p
R06_AV1010,R06_AV1010: Completely quit using electronic nicotine products,r06_av1010,r06_av1010: completely quit using electronic nicotine products
R06_AV1103,R06_AV1103: Ever been curious about using an electronic nicotine product,r06_av1103,r06_av1103: ever been curious about using an electronic nicotine product
R06_AV1206,R06_AV1206: Think you will use an electronic nicotine product in the next year,r06_av1206,r06_av1206: think you will use an electronic nicotine product in the next year
R06_AV1104,R06_AV1104: Think you will try an electronic nicotine product soon,r06_av1104,r06_av1104: think you will try an electronic nicotine product soon
R06_AV1105,R06_AV1105: Would try an electronic nicotine product if one of your best friends,r06_av1105,r06_av1105: would try an electronic nicotine product if one of your best friends
R06_AG9003,"R06_AG9003: Ever smoked a traditional cigar, even one or two puffs",r06_ag9003,"r06_ag9003: ever smoked a traditional cigar, even one or two puffs"
R06_AG9004,"R06_AG9004: Ever smoked a cigarillo or filtered cigar, even one or two puffs",r06_ag9004,"r06_ag9004: ever smoked a cigarillo or filtered cigar, even one or two puffs"
R06_AG9009_01,R06_AG9009_01: Type of cigarillo or filtered cigar ever smoked: with a plastic o,r06_ag9009_01,r06_ag9009_01: type of cigarillo or filtered cigar ever smoked: with a plastic o
R06_AG9009_02,R06_AG9009_02: Type of cigarillo or filtered cigar ever smoked: with a filter (l,r06_ag9009_02,r06_ag9009_02: type of cigarillo or filtered cigar ever smoked: with a filter (l
R06_AG9009_03,R06_AG9009_03: Type of cigarillo or filtered cigar ever smoked: without a tip or,r06_ag9009_03,r06_ag9009_03: type of cigarillo or filtered cigar ever smoked: without a tip or
R06_AG9030,"R06_AG9030: In past 30 days, smoked a traditional cigar, even one or two puffs",r06_ag9030,"r06_ag9030: in past 30 days, smoked a traditional cigar, even one or two puffs"
R06_AG9003_12M,"R06_AG9003_12M: In past 12 months, smoked a traditional cigar, even one or two p",r06_ag9003_12m,"r06_ag9003_12m: in past 12 months, smoked a traditional cigar, even one or two p"
R06_AG9031,"R06_AG9031: In past 30 days, smoked a cigarillo or filtered cigar, even one or t",r06_ag9031,"r06_ag9031: in past 30 days, smoked a cigarillo or filtered cigar, even one or t"
R06_AG9049_01,"R06_AG9049_01: In past 30 days, type of cigarillos or filtered cigars smoked: Wi",r06_ag9049_01,"r06_ag9049_01: in past 30 days, type of cigarillos or filtered cigars smoked: wi"
R06_AG9049_02,"R06_AG9049_02: In past 30 days, type of cigarillos or filtered cigars smoked: Wi",r06_ag9049_02,"r06_ag9049_02: in past 30 days, type of cigarillos or filtered cigars smoked: wi"
R06_AG9049_03,"R06_AG9049_03: In past 30 days, type of cigarillos or filtered cigars smoked: Wi",r06_ag9049_03,"r06_ag9049_03: in past 30 days, type of cigarillos or filtered cigars smoked: wi"
R06_AG9051,"R06_AG9051: In past 12 months, smoked cigarillo/filtered cigar that has a plasti",r06_ag9051,"r06_ag9051: in past 12 months, smoked cigarillo/filtered cigar that has a plasti"
R06_AG9052,"R06_AG9052: In past 12 months, smoked cigarillo/filtered cigar that has a filter",r06_ag9052,"r06_ag9052: in past 12 months, smoked cigarillo/filtered cigar that has a filter"
R06_AG9053,"R06_AG9053: In past 12 months, smoked cigarillo/filtered cigar without a tip or",r06_ag9053,"r06_ag9053: in past 12 months, smoked cigarillo/filtered cigar without a tip or"
R06_AG9004_12M,"R06_AG9004_12M: In past 12 months, smoked cigarillo or filtered cigar, even one",r06_ag9004_12m,"r06_ag9004_12m: in past 12 months, smoked cigarillo or filtered cigar, even one"
R06_AG9009_12M_01,"R06_AG9009_12M_01: In last 12 months, type of cigarillos or filtered cigars smok",r06_ag9009_12m_01,"r06_ag9009_12m_01: in last 12 months, type of cigarillos or filtered cigars smok"
R06_AG9009_12M_02,"R06_AG9009_12M_02: In last 12 months, type of cigarillos or filtered cigars smok",r06_ag9009_12m_02,"r06_ag9009_12m_02: in last 12 months, type of cigarillos or filtered cigars smok"
R06_AG9009_12M_03,"R06_AG9009_12M_03: In last 12 months, type of cigarillos or filtered cigars smok",r06_ag9009_12m_03,"r06_ag9009_12m_03: in last 12 months, type of cigarillos or filtered cigars smok"
R06_AG9107,"R06_AG9107: In past 12 months, smoked part or all of a traditional cigar, cigari",r06_ag9107,"r06_ag9107: in past 12 months, smoked part or all of a traditional cigar, cigari"
R06_AG1095_01,R06_AG1095_01: Cigar type smoked as a blunt: Group 1 (Traditional cigar),r06_ag1095_01,r06_ag1095_01: cigar type smoked as a blunt: group 1 (traditional cigar)
R06_AG1095_02,R06_AG1095_02: Cigar type smoked as a blunt: Group 2 (Cigarillos with and withou,r06_ag1095_02,r06_ag1095_02: cigar type smoked as a blunt: group 2 (cigarillos with and withou
R06_AG1095_03,R06_AG1095_03: Cigar type smoked as a blunt: Group 3 (Filtered cigar),r06_ag1095_03,r06_ag1095_03: cigar type smoked as a blunt: group 3 (filtered cigar)
R06_AG9106_01,"R06_AG9106_01: In past 12 months, how often tobacco in traditional cigar was rep",r06_ag9106_01,"r06_ag9106_01: in past 12 months, how often tobacco in traditional cigar was rep"
R06_AG9106_02,"R06_AG9106_02: In past 12 months, how often tobacco in cigarillos with or withou",r06_ag9106_02,"r06_ag9106_02: in past 12 months, how often tobacco in cigarillos with or withou"
R06_AG9106_03,"R06_AG9106_03: In past 12 months, how often tobacco in filtered cigars was repla",r06_ag9106_03,"r06_ag9106_03: in past 12 months, how often tobacco in filtered cigars was repla"
R06_AG1003TC,R06_AG1003TC: Now smoke traditional cigars,r06_ag1003tc,r06_ag1003tc: now smoke traditional cigars
R06_AG1009TC_NN,R06_AG1009TC_NN: How long since last smoked a traditional cigar - Number,r06_ag1009tc_nn,r06_ag1009tc_nn: how long since last smoked a traditional cigar - number
R06_AG1009TC_UN,R06_AG1009TC_UN: How long since last smoked a traditional cigar - Unit,r06_ag1009tc_un,r06_ag1009tc_un: how long since last smoked a traditional cigar - unit
R06_AG1010TC,R06_AG1010TC: Completely quit smoking traditional cigars,r06_ag1010tc,r06_ag1010tc: completely quit smoking traditional cigars
R06_AG1003CG,R06_AG1003CG: Now smoke cigarillos,r06_ag1003cg,r06_ag1003cg: now smoke cigarillos
R06_AG1009CG_NN,R06_AG1009CG_NN: How long since last smoked a cigarillo - Number,r06_ag1009cg_nn,r06_ag1009cg_nn: how long since last smoked a cigarillo - number
R06_AG1009CG_UN,R06_AG1009CG_UN: How long since last smoked a cigarillo - Unit,r06_ag1009cg_un,r06_ag1009cg_un: how long since last smoked a cigarillo - unit
R06_AG1010CG,R06_AG1010CG: Completely quit smoking cigarillos,r06_ag1010cg,r06_ag1010cg: completely quit smoking cigarillos
R06_AG1003FC,R06_AG1003FC: Now smoke filtered cigars,r06_ag1003fc,r06_ag1003fc: now smoke filtered cigars
R06_AG1009FC_NN,R06_AG1009FC_NN: How long since last smoked a filtered cigar - Number,r06_ag1009fc_nn,r06_ag1009fc_nn: how long since last smoked a filtered cigar - number
R06_AG1009FC_UN,R06_AG1009FC_UN: How long since last smoked a filtered cigar - Unit,r06_ag1009fc_un,r06_ag1009fc_un: how long since last smoked a filtered cigar - unit
R06_AG1010FC,R06_AG1010FC: Completely quit smoking filtered cigars,r06_ag1010fc,r06_ag1010fc: completely quit smoking filtered cigars
R06_AG1003TJ,R06_AG1003TJ: Now smoke traditional cigars as blunts,r06_ag1003tj,r06_ag1003tj: now smoke traditional cigars as blunts
R06_AG1009TJ_NN,R06_AG1009TJ_NN: How long since last smoked a traditional cigar as a blunt - Num,r06_ag1009tj_nn,r06_ag1009tj_nn: how long since last smoked a traditional cigar as a blunt - num
R06_AG1009TJ_UN,R06_AG1009TJ_UN: How long since last smoked a traditional cigar as a blunt - Uni,r06_ag1009tj_un,r06_ag1009tj_un: how long since last smoked a traditional cigar as a blunt - uni
R06_AG1003GJ,R06_AG1003GJ: Now smoke cigarillos as blunts,r06_ag1003gj,r06_ag1003gj: now smoke cigarillos as blunts
R06_AG1009GJ_NN,R06_AG1009GJ_NN: How long since last smoked a cigarillo as a blunt - Number,r06_ag1009gj_nn,r06_ag1009gj_nn: how long since last smoked a cigarillo as a blunt - number
R06_AG1009GJ_UN,R06_AG1009GJ_UN: How long since last smoked a cigarillo as a blunt - Unit,r06_ag1009gj_un,r06_ag1009gj_un: how long since last smoked a cigarillo as a blunt - unit
R06_AG1003FJ,R06_AG1003FJ: Now smoke filtered cigars as blunts,r06_ag1003fj,r06_ag1003fj: now smoke filtered cigars as blunts
R06_AG1009FJ_NN,R06_AG1009FJ_NN: How long since last smoked a filtered cigar as a blunt - Number,r06_ag1009fj_nn,r06_ag1009fj_nn: how long since last smoked a filtered cigar as a blunt - number
R06_AG1009FJ_UN,R06_AG1009FJ_UN: How long since last smoked a filtered cigar as a blunt - Unit,r06_ag1009fj_un,r06_ag1009fj_un: how long since last smoked a filtered cigar as a blunt - unit
R06_AG9010,R06_AG9010: Ever been curious about smoking a traditional cigar,r06_ag9010,r06_ag9010: ever been curious about smoking a traditional cigar
R06_AG9020,R06_AG9020: Think you will smoke a traditional cigar in the next year,r06_ag9020,r06_ag9020: think you will smoke a traditional cigar in the next year
R06_AG9013,R06_AG9013: Think you will try a traditional cigar soon,r06_ag9013,r06_ag9013: think you will try a traditional cigar soon
R06_AG9016,R06_AG9016: Would smoke a traditional cigar if a best friend offered it,r06_ag9016,r06_ag9016: would smoke a traditional cigar if a best friend offered it
R06_AG9011,R06_AG9011: Ever been curious about smoking a cigarillo,r06_ag9011,r06_ag9011: ever been curious about smoking a cigarillo
R06_AG9021,R06_AG9021: Think you will smoke a cigarillo in the next year,r06_ag9021,r06_ag9021: think you will smoke a cigarillo in the next year
R06_AG9014,R06_AG9014: Think you will try a cigarillo soon,r06_ag9014,r06_ag9014: think you will try a cigarillo soon
R06_AG9017,R06_AG9017: Would smoke a cigarillo if a best friend offered it,r06_ag9017,r06_ag9017: would smoke a cigarillo if a best friend offered it
R06_AG9012,R06_AG9012: Ever been curious about smoking a filtered cigar,r06_ag9012,r06_ag9012: ever been curious about smoking a filtered cigar
R06_AG9022,R06_AG9022: Think you will smoke a filtered cigar in the next year,r06_ag9022,r06_ag9022: think you will smoke a filtered cigar in the next year
R06_AG9015,R06_AG9015: Think you will try a filtered cigar soon,r06_ag9015,r06_ag9015: think you will try a filtered cigar soon
R06_AG9018,R06_AG9018: Would smoke a filtered cigar if a best friend offered it,r06_ag9018,r06_ag9018: would smoke a filtered cigar if a best friend offered it
R06_AP1002,"R06_AP1002: Ever smoked a pipe filled with tobacco, even one or two puffs",r06_ap1002,"r06_ap1002: ever smoked a pipe filled with tobacco, even one or two puffs"
R06_AP1004,"R06_AP1004: In past 30 days, smoked a pipe filled with tobacco, even one or two",r06_ap1004,"r06_ap1004: in past 30 days, smoked a pipe filled with tobacco, even one or two"
R06_AP1002_12M,"R06_AP1002_12M: In past 12 months, smoked a pipe filled with tobacco, even one o",r06_ap1002_12m,"r06_ap1002_12m: in past 12 months, smoked a pipe filled with tobacco, even one o"
R06_AP1003,R06_AP1003: Now smoke a pipe filled with tobacco,r06_ap1003,r06_ap1003: now smoke a pipe filled with tobacco
R06_AP1009_NN,R06_AP1009_NN: How long since you last smoked a pipe filled with tobacco - Numbe,r06_ap1009_nn,r06_ap1009_nn: how long since you last smoked a pipe filled with tobacco - numbe
R06_AP1009_UN,R06_AP1009_UN: How long since you last smoked a pipe filled with tobacco - Unit,r06_ap1009_un,r06_ap1009_un: how long since you last smoked a pipe filled with tobacco - unit
R06_AP1010,R06_AP1010: Completely quit smoking pipes filled with tobacco,r06_ap1010,r06_ap1010: completely quit smoking pipes filled with tobacco
R06_AH1002,"R06_AH1002: Ever smoked tobacco in a hookah, even one or two puffs",r06_ah1002,"r06_ah1002: ever smoked tobacco in a hookah, even one or two puffs"
R06_AH1004,"R06_AH1004: In past 30 days, smoked hookah, even one or two puffs",r06_ah1004,"r06_ah1004: in past 30 days, smoked hookah, even one or two puffs"
R06_AH1002_12M,"R06_AH1002_12M: In past 12 months, smoked tobacco in a hookah, even one or two p",r06_ah1002_12m,"r06_ah1002_12m: in past 12 months, smoked tobacco in a hookah, even one or two p"
R06_AH1003,R06_AH1003: Now smoke hookah,r06_ah1003,r06_ah1003: now smoke hookah
R06_AH1009_NN,R06_AH1009_NN: How long since you last smoked tobacco in a hookah - Number,r06_ah1009_nn,r06_ah1009_nn: how long since you last smoked tobacco in a hookah - number
R06_AH1009_UN,R06_AH1009_UN: How long since you last smoked tobacco in a hookah - Unit,r06_ah1009_un,r06_ah1009_un: how long since you last smoked tobacco in a hookah - unit
R06_AH1010,R06_AH1010: Completely quit smoking tobacco in a hookah,r06_ah1010,r06_ah1010: completely quit smoking tobacco in a hookah
R06_AH1103,R06_AH1103: Ever been curious about smoking tobacco in a hookah,r06_ah1103,r06_ah1103: ever been curious about smoking tobacco in a hookah
R06_AH1206,R06_AH1206: Think you will smoke tobacco in a hookah in the next year,r06_ah1206,r06_ah1206: think you will smoke tobacco in a hookah in the next year
R06_AH1104,R06_AH1104: Think you will try smoking tobacco in a hookah soon,r06_ah1104,r06_ah1104: think you will try smoking tobacco in a hookah soon
R06_AH1205,R06_AH1205: Would try a hookah if a best friend offered,r06_ah1205,r06_ah1205: would try a hookah if a best friend offered
R06_AH9040,R06_AH9040: Ever smoked herbal or tobacco-free shisha in a hookah,r06_ah9040,r06_ah9040: ever smoked herbal or tobacco-free shisha in a hookah
R06_AU1002,"R06_AU1002: Ever used snus, even one or two times",r06_au1002,"r06_au1002: ever used snus, even one or two times"
R06_AU1004,"R06_AU1004: In past 30 days, used snus, even one or two times",r06_au1004,"r06_au1004: in past 30 days, used snus, even one or two times"
R06_AU1002_12M,"R06_AU1002_12M: In past 12 months, used snus, even one or two times",r06_au1002_12m,"r06_au1002_12m: in past 12 months, used snus, even one or two times"
R06_AU1003,R06_AU1003: Now use snus,r06_au1003,r06_au1003: now use snus
R06_AU1009_NN,R06_AU1009_NN: How long since you last used snus - Number,r06_au1009_nn,r06_au1009_nn: how long since you last used snus - number
R06_AU1009_UN,R06_AU1009_UN: How long since you last used snus - Unit,r06_au1009_un,r06_au1009_un: how long since you last used snus - unit
R06_AU1010,R06_AU1010: Completely quit using snus,r06_au1010,r06_au1010: completely quit using snus
R06_AU1103,R06_AU1103: Ever been curious about using snus,r06_au1103,r06_au1103: ever been curious about using snus
R06_AU1206,R06_AU1206: Think you will use snus in the next year,r06_au1206,r06_au1206: think you will use snus in the next year
R06_AU1104,R06_AU1104: Think you will try snus soon,r06_au1104,r06_au1104: think you will try snus soon
R06_AU1205,R06_AU1205: Would try snus if a best friend offered it,r06_au1205,r06_au1205: would try snus if a best friend offered it
R06_AS1002,"R06_AS1002: Ever used smokeless tobacco, even one or two times",r06_as1002,"r06_as1002: ever used smokeless tobacco, even one or two times"
R06_AS1004,"R06_AS1004: In past 30 days, used smokeless tobacco products, even one or two ti",r06_as1004,"r06_as1004: in past 30 days, used smokeless tobacco products, even one or two ti"
R06_AS1002_12M,"R06_AS1002_12M: In past 12 months, used smokeless tobacco products, even one or",r06_as1002_12m,"r06_as1002_12m: in past 12 months, used smokeless tobacco products, even one or"
R06_AS1003,R06_AS1003: Now use smokeless tobacco,r06_as1003,r06_as1003: now use smokeless tobacco
R06_AS1009_NN,R06_AS1009_NN: How long since you last used smokeless tobacco - Number,r06_as1009_nn,r06_as1009_nn: how long since you last used smokeless tobacco - number
R06_AS1009_UN,R06_AS1009_UN: How long since you last used smokeless tobacco - Unit,r06_as1009_un,r06_as1009_un: how long since you last used smokeless tobacco - unit
R06_AS1010,R06_AS1010: Completely quit using smokeless tobacco,r06_as1010,r06_as1010: completely quit using smokeless tobacco
R06_AS1103,R06_AS1103: Ever been curious about using smokeless tobacco,r06_as1103,r06_as1103: ever been curious about using smokeless tobacco
R06_AS1206,R06_AS1206: Think you will use smokeless tobacco in the next year,r06_as1206,r06_as1206: think you will use smokeless tobacco in the next year
R06_AS1104,R06_AS1104: Think you will try smokeless tobacco soon,r06_as1104,r06_as1104: think you will try smokeless tobacco soon
R06_AS1205,R06_AS1205: Would try smokeless tobacco if a best friend offered it,r06_as1205,r06_as1205: would try smokeless tobacco if a best friend offered it
R06_AD1002,"R06_AD1002: Ever used dissolvable tobacco products, even one or two times",r06_ad1002,"r06_ad1002: ever used dissolvable tobacco products, even one or two times"
R06_AD1002_12M,"R06_AD1002_12M: In past 12 months, used dissolvable tobacco, even one or two tim",r06_ad1002_12m,"r06_ad1002_12m: in past 12 months, used dissolvable tobacco, even one or two tim"
R06_AQ1001,R06_AQ1001: Ever seen or heard of IQOS before this study,r06_aq1001,r06_aq1001: ever seen or heard of iqos before this study
R06_AQ1002,"R06_AQ1002: Ever used IQOS, even one or two times",r06_aq1002,"r06_aq1002: ever used iqos, even one or two times"
R06_AQ1004,"R06_AQ1004: In past 30 days, used IQOS, even one or two times",r06_aq1004,"r06_aq1004: in past 30 days, used iqos, even one or two times"
R06_AQ1002_12M,"R06_AQ1002_12M: In past 12 months, used IQOS, even one or two times",r06_aq1002_12m,"r06_aq1002_12m: in past 12 months, used iqos, even one or two times"
R06_AQ1003,R06_AQ1003: Now use IQOS,r06_aq1003,r06_aq1003: now use iqos
R06_AQ1130,"R06_AQ1130: In past 30 days, used menthol flavored HeatSticks",r06_aq1130,"r06_aq1130: in past 30 days, used menthol flavored heatsticks"
R06_AQ9203_01,"R06_AQ9203_01: In past 30 days, noticed IQOS or HeatSticks advertised: I have no",r06_aq9203_01,"r06_aq9203_01: in past 30 days, noticed iqos or heatsticks advertised: i have no"
R06_AQ9203_02,"R06_AQ9203_02: In past 30 days, noticed IQOS or HeatSticks advertised: At gas st",r06_aq9203_02,"r06_aq9203_02: in past 30 days, noticed iqos or heatsticks advertised: at gas st"
R06_AQ9203_03,"R06_AQ9203_03: In past 30 days, noticed IQOS or HeatSticks advertised: On billbo",r06_aq9203_03,"r06_aq9203_03: in past 30 days, noticed iqos or heatsticks advertised: on billbo"
R06_AQ9203_04,"R06_AQ9203_04: In past 30 days, noticed IQOS or HeatSticks advertised: In newspa",r06_aq9203_04,"r06_aq9203_04: in past 30 days, noticed iqos or heatsticks advertised: in newspa"
R06_AQ9203_05,"R06_AQ9203_05: In past 30 days, noticed IQOS or HeatSticks advertised: On radio",r06_aq9203_05,"r06_aq9203_05: in past 30 days, noticed iqos or heatsticks advertised: on radio"
R06_AQ9203_06,"R06_AQ9203_06: In past 30 days, noticed IQOS or HeatSticks advertised: On televi",r06_aq9203_06,"r06_aq9203_06: in past 30 days, noticed iqos or heatsticks advertised: on televi"
R06_AQ9203_07,"R06_AQ9203_07: In past 30 days, noticed IQOS or HeatSticks advertised: At events",r06_aq9203_07,"r06_aq9203_07: in past 30 days, noticed iqos or heatsticks advertised: at events"
R06_AQ9203_08,"R06_AQ9203_08: In past 30 days, noticed IQOS or HeatSticks advertised: At nightc",r06_aq9203_08,"r06_aq9203_08: in past 30 days, noticed iqos or heatsticks advertised: at nightc"
R06_AQ9203_09,"R06_AQ9203_09: In past 30 days, noticed IQOS or HeatSticks advertised: In email",r06_aq9203_09,"r06_aq9203_09: in past 30 days, noticed iqos or heatsticks advertised: in email"
R06_AQ9203_10,"R06_AQ9203_10: In past 30 days, noticed IQOS or HeatSticks advertised: On social",r06_aq9203_10,"r06_aq9203_10: in past 30 days, noticed iqos or heatsticks advertised: on social"
R06_AQ9203_11,"R06_AQ9203_11: In past 30 days, noticed IQOS or HeatSticks advertised: On other",r06_aq9203_11,"r06_aq9203_11: in past 30 days, noticed iqos or heatsticks advertised: on other"
R06_AQ9203_12,"R06_AQ9203_12: In past 30 days, noticed IQOS or HeatSticks advertised: Somewhere",r06_aq9203_12,"r06_aq9203_12: in past 30 days, noticed iqos or heatsticks advertised: somewhere"
R06_AQ9033,R06_AQ9033: Where IQOS was bought,r06_aq9033,r06_aq9033: where iqos was bought
R06_AQ1033,R06_AQ1033: Retail location where your HeatSticks are purchased most of the time,r06_aq1033,r06_aq1033: retail location where your heatsticks are purchased most of the time
R06_AQ0100,R06_AQ0100: When last used IQOS,r06_aq0100,r06_aq0100: when last used iqos
R06_AQ0102,R06_AQ0102: Time period of day when you last used IQOS,r06_aq0102,r06_aq0102: time period of day when you last used iqos
R06_AQ0103,R06_AQ0103: Number of HeatSticks used today/yesterday/day before yesterday,r06_aq0103,r06_aq0103: number of heatsticks used today/yesterday/day before yesterday
R06_AQ1103,R06_AQ1103: Ever been curious about using IQOS,r06_aq1103,r06_aq1103: ever been curious about using iqos
R06_AQ1206,R06_AQ1206: Think you will use IQOS in the next year,r06_aq1206,r06_aq1206: think you will use iqos in the next year
R06_AQ1104,R06_AQ1104: Think you will use IQOS soon,r06_aq1104,r06_aq1104: think you will use iqos soon
R06_AQ1105,R06_AQ1105: Would try IQOS if one of your best friends offered it to you,r06_aq1105,r06_aq1105: would try iqos if one of your best friends offered it to you
R06_AQ9050,R06_AQ9050: General perception: Harmfulness of IQOS to health,r06_aq9050,r06_aq9050: general perception: harmfulness of iqos to health
R06_AZ1002,R06_AZ1002: Ever used any other tobacco products,r06_az1002,r06_az1002: ever used any other tobacco products
R06R_A_AC1006,R06R_A_AC1006: DERIVED - Age group when you first smoked part or all of a cigare,r06r_a_ac1006,r06r_a_ac1006: derived - age group when you first smoked part or all of a cigare
R06_AC1005,R06_AC1005: Number of cigarettes smoked in your entire life,r06_ac1005,r06_ac1005: number of cigarettes smoked in your entire life
R06_AC1100,R06_AC1100: Ever smoked cigarettes fairly regularly,r06_ac1100,r06_ac1100: ever smoked cigarettes fairly regularly
R06R_A_AC1007,R06R_A_AC1007: DERIVED - Age group when you first started smoking cigarettes fai,r06r_a_ac1007,r06r_a_ac1007: derived - age group when you first started smoking cigarettes fai
R06R_A_AC1020,R06R_A_AC1020: DERIVED - Age group when you first started smoking cigarettes eve,r06r_a_ac1020,r06r_a_ac1020: derived - age group when you first started smoking cigarettes eve
R06_AC1008,"R06_AC1008: When first started smoking cigarettes, smoked cigarettes flavored to",r06_ac1008,"r06_ac1008: when first started smoking cigarettes, smoked cigarettes flavored to"
R06_AC9904,R06_AC9904: How much pleasant sensation experienced the first time smoked a ciga,r06_ac9904,r06_ac9904: how much pleasant sensation experienced the first time smoked a ciga
R06_AC9905,R06_AC9905: How much unpleasant sensation experienced the first time smoked a ci,r06_ac9905,r06_ac9905: how much unpleasant sensation experienced the first time smoked a ci
R06_AC9906,R06_AC9906: How much felt sick to stomach the first time smoked a cigarette,r06_ac9906,r06_ac9906: how much felt sick to stomach the first time smoked a cigarette
R06_AC9002_NN,R06_AC9002_NN: How long smoking/smoked cigarettes fairly regularly - Number,r06_ac9002_nn,r06_ac9002_nn: how long smoking/smoked cigarettes fairly regularly - number
R06_AC9002_UN,R06_AC9002_UN: How long smoking/smoked cigarettes fairly regularly - Unit,r06_ac9002_un,r06_ac9002_un: how long smoking/smoked cigarettes fairly regularly - unit
R06_AC9003_NN,R06_AC9003_NN: How many cigarettes smoked per day when you smoked fairly regular,r06_ac9003_nn,r06_ac9003_nn: how many cigarettes smoked per day when you smoked fairly regular
R06_AC9003_UN,R06_AC9003_UN: How many cigarettes smoked per day when you smoked fairly regular,r06_ac9003_un,r06_ac9003_un: how many cigarettes smoked per day when you smoked fairly regular
R06_AC1021_NN,R06_AC1021_NN: Average number of cigarettes now smoked each day - Number,r06_ac1021_nn,r06_ac1021_nn: average number of cigarettes now smoked each day - number
R06_AC1021_UN,R06_AC1021_UN: Average number of cigarettes now smoked each day - Unit,r06_ac1021_un,r06_ac1021_un: average number of cigarettes now smoked each day - unit
R06_AC1090,R06_AC1090: Average number of cigarettes now smoked per day (Pack measure),r06_ac1090,r06_ac1090: average number of cigarettes now smoked per day (pack measure)
R06_AC1022,"R06_AC1022: In past 30 days, number of days smoked cigarettes",r06_ac1022,"r06_ac1022: in past 30 days, number of days smoked cigarettes"
