wave,var_name,label,var_lower,label_lower
W6,R06_AQ9203_07,"R06_AQ9203_07: In past 30 days, noticed IQOS or HeatSticks advertised: At events",r06_aq9203_07,"r06_aq9203_07: in past 30 days, noticed iqos or heatsticks advertised: at events"
W6,R06_AQ9203_08,"R06_AQ9203_08: In past 30 days, noticed IQOS or HeatSticks advertised: At nightc",r06_aq9203_08,"r06_aq9203_08: in past 30 days, noticed iqos or heatsticks advertised: at nightc"
W6,R06_AQ9203_09,"R06_AQ9203_09: In past 30 days, noticed IQOS or HeatSticks advertised: In email",r06_aq9203_09,"r06_aq9203_09: in past 30 days, noticed iqos or heatsticks advertised: in email"
W6,R06_AQ9203_10,"R06_AQ9203_10: In past 30 days, noticed IQOS or HeatSticks advertised: On social",r06_aq9203_10,"r06_aq9203_10: in past 30 days, noticed iqos or heatsticks advertised: on social"
W6,R06_AQ9203_11,"R06_AQ9203_11: In past 30 days, noticed IQOS or HeatSticks advertised: On other",r06_aq9203_11,"r06_aq9203_11: in past 30 days, noticed iqos or heatsticks advertised: on other"
W6,R06_AQ9203_12,"R06_AQ9203_12: In past 30 days, noticed IQOS or HeatSticks advertised: Somewhere",r06_aq9203_12,"r06_aq9203_12: in past 30 days, noticed iqos or heatsticks advertised: somewhere"
W6,R06_AQ9033,R06_AQ9033: Where IQOS was bought,r06_aq9033,r06_aq9033: where iqos was bought
W6,R06_AQ1033,R06_AQ1033: Retail location where your HeatSticks are purchased most of the time,r06_aq1033,r06_aq1033: retail location where your heatsticks are purchased most of the time
W6,R06_AQ0100,R06_AQ0100: When last used IQOS,r06_aq0100,r06_aq0100: when last used iqos
W6,R06_AQ0102,R06_AQ0102: Time period of day when you last used IQOS,r06_aq0102,r06_aq0102: time period of day when you last used iqos
W6,R06_AQ0103,R06_AQ0103: Number of HeatSticks used today/yesterday/day before yesterday,r06_aq0103,r06_aq0103: number of heatsticks used today/yesterday/day before yesterday
W6,R06_AQ1103,R06_AQ1103: Ever been curious about using IQOS,r06_aq1103,r06_aq1103: ever been curious about using iqos
W6,R06_AQ1206,R06_AQ1206: Think you will use IQOS in the next year,r06_aq1206,r06_aq1206: think you will use iqos in the next year
W6,R06_AQ1104,R06_AQ1104: Think you will use IQOS soon,r06_aq1104,r06_aq1104: think you will use iqos soon
W6,R06_AQ1105,R06_AQ1105: Would try IQOS if one of your best friends offered it to you,r06_aq1105,r06_aq1105: would try iqos if one of your best friends offered it to you
W6,R06_AQ9050,R06_AQ9050: General perception: Harmfulness of IQOS to health,r06_aq9050,r06_aq9050: general perception: harmfulness of iqos to health
W6,R06_AZ1002,R06_AZ1002: Ever used any other tobacco products,r06_az1002,r06_az1002: ever used any other tobacco products
W6,R06R_A_AC1006,R06R_A_AC1006: DERIVED - Age group when you first smoked part or all of a cigare,r06r_a_ac1006,r06r_a_ac1006: derived - age group when you first smoked part or all of a cigare
W6,R06_AC1005,R06_AC1005: Number of cigarettes smoked in your entire life,r06_ac1005,r06_ac1005: number of cigarettes smoked in your entire life
W6,R06_AC1100,R06_AC1100: Ever smoked cigarettes fairly regularly,r06_ac1100,r06_ac1100: ever smoked cigarettes fairly regularly
W6,R06R_A_AC1007,R06R_A_AC1007: DERIVED - Age group when you first started smoking cigarettes fai,r06r_a_ac1007,r06r_a_ac1007: derived - age group when you first started smoking cigarettes fai
W6,R06R_A_AC1020,R06R_A_AC1020: DERIVED - Age group when you first started smoking cigarettes eve,r06r_a_ac1020,r06r_a_ac1020: derived - age group when you first started smoking cigarettes eve
W6,R06_AC1008,"R06_AC1008: When first started smoking cigarettes, smoked cigarettes flavored to",r06_ac1008,"r06_ac1008: when first started smoking cigarettes, smoked cigarettes flavored to"
W6,R06_AC9904,R06_AC9904: How much pleasant sensation experienced the first time smoked a ciga,r06_ac9904,r06_ac9904: how much pleasant sensation experienced the first time smoked a ciga
W6,R06_AC9905,R06_AC9905: How much unpleasant sensation experienced the first time smoked a ci,r06_ac9905,r06_ac9905: how much unpleasant sensation experienced the first time smoked a ci
W6,R06_AC9906,R06_AC9906: How much felt sick to stomach the first time smoked a cigarette,r06_ac9906,r06_ac9906: how much felt sick to stomach the first time smoked a cigarette
W6,R06_AC9002_NN,R06_AC9002_NN: How long smoking/smoked cigarettes fairly regularly - Number,r06_ac9002_nn,r06_ac9002_nn: how long smoking/smoked cigarettes fairly regularly - number
W6,R06_AC9002_UN,R06_AC9002_UN: How long smoking/smoked cigarettes fairly regularly - Unit,r06_ac9002_un,r06_ac9002_un: how long smoking/smoked cigarettes fairly regularly - unit
W6,R06_AC9003_NN,R06_AC9003_NN: How many cigarettes smoked per day when you smoked fairly regular,r06_ac9003_nn,r06_ac9003_nn: how many cigarettes smoked per day when you smoked fairly regular
W6,R06_AC9003_UN,R06_AC9003_UN: How many cigarettes smoked per day when you smoked fairly regular,r06_ac9003_un,r06_ac9003_un: how many cigarettes smoked per day when you smoked fairly regular
W6,R06_AC1021_NN,R06_AC1021_NN: Average number of cigarettes now smoked each day - Number,r06_ac1021_nn,r06_ac1021_nn: average number of cigarettes now smoked each day - number
W6,R06_AC1021_UN,R06_AC1021_UN: Average number of cigarettes now smoked each day - Unit,r06_ac1021_un,r06_ac1021_un: average number of cigarettes now smoked each day - unit
W6,R06_AC1090,R06_AC1090: Average number of cigarettes now smoked per day (Pack measure),r06_ac1090,r06_ac1090: average number of cigarettes now smoked per day (pack measure)
W6,R06_AC1022,"R06_AC1022: In past 30 days, number of days smoked cigarettes",r06_ac1022,"r06_ac1022: in past 30 days, number of days smoked cigarettes"
W6,R06_AC9029_NN,R06_AC9029_NN: How long since you last smoked a cigarette - Number (Current smok,r06_ac9029_nn,r06_ac9029_nn: how long since you last smoked a cigarette - number (current smok
W6,R06_AC9029_UN,R06_AC9029_UN: How long since you last smoked a cigarette - Unit (Current smoker,r06_ac9029_un,r06_ac9029_un: how long since you last smoked a cigarette - unit (current smoker
