,OR_baseline,CI_low_baseline,CI_high_baseline,p_baseline,OR_adjusted,CI_low_adjusted,CI_high_adjusted,p_adjusted
"C(pattern, Treatment(reference='low_low'))[T.emergent_w7_only]",1.242173372077547,1.0315535526033395,1.4957969776793816,0.02215626950731327,1.2175772697819698,1.0056883070735467,1.4741092219751737,0.043579642252298184
"C(pattern, Treatment(reference='low_low'))[T.persistent]",1.4055956155012694,1.19374356034921,1.6550447683574807,4.4149262479403217e-05,1.3639292960369185,1.1518638019912246,1.6150374040506021,0.00031854135714879094
"C(pattern, Treatment(reference='low_low'))[T.transient_w6_only]",1.1722733035840112,0.9716367544818352,1.4143399701142763,0.09700651030160402,1.146671891418244,0.9465320763032284,1.3891303416826515,0.16196938915217762
